Date;Close
01-04-1999;1,207
01-05-1999;1,2077
01-06-1999;1,2088
01-07-1999;1,2093
01-08-1999;1,2096
01-11-1999;1,2101
01-12-1999;1,2106
01-13-1999;1,3185
01-14-1999;1,3186
01-15-1999;1,4651
01-18-1999;1,5376
01-19-1999;1,5572
01-20-1999;1,5727
01-21-1999;1,6594
01-22-1999;1,7041
01-25-1999;1,7598
01-26-1999;1,8762
01-27-1999;1,8878
01-28-1999;1,9198
01-29-1999;1,9824
02-01-1999;1,963
02-02-1999;1,7972
02-03-1999;1,7701
02-04-1999;1,8132
02-05-1999;1,8309
02-08-1999;1,8601
02-09-1999;1,9325
02-10-1999;1,8945
02-11-1999;1,886
02-12-1999;1,8976
02-17-1999;1,9171
02-18-1999;1,9021
02-19-1999;1,92
02-22-1999;1,9348
02-23-1999;2,012
02-24-1999;2,0025
02-25-1999;2,0343
02-26-1999;2,064
03-01-1999;2,0276
03-02-1999;2,13
03-03-1999;2,1639
03-04-1999;2,1014
03-05-1999;1,9926
03-08-1999;1,97
03-09-1999;1,9048
03-10-1999;1,8623
03-11-1999;1,8776
03-12-1999;1,9043
03-15-1999;1,8817
03-16-1999;1,8513
03-17-1999;1,8769
03-18-1999;1,8588
03-19-1999;1,8499
03-22-1999;1,8607
03-23-1999;1,8508
03-24-1999;1,842
03-25-1999;1,8092
03-26-1999;1,7742
03-29-1999;1,7647
03-30-1999;1,7326
03-31-1999;1,7212
04-05-1999;1,7243
04-06-1999;1,7306
04-07-1999;1,7287
04-08-1999;1,7198
04-09-1999;1,7082
04-12-1999;1,7046
04-13-1999;1,6712
04-14-1999;1,6567
04-15-1999;1,668
04-16-1999;1,6692
04-19-1999;1,6713
04-20-1999;1,7093
04-22-1999;1,7006
04-23-1999;1,6843
04-26-1999;1,697
04-27-1999;1,7061
04-28-1999;1,6955
04-29-1999;1,6668
04-30-1999;1,6599
05-03-1999;1,6727
05-04-1999;1,6726
05-05-1999;1,6839
05-06-1999;1,6721
05-07-1999;1,6704
05-10-1999;1,651
05-11-1999;1,646
05-12-1999;1,6606
05-13-1999;1,6502
05-14-1999;1,6562
05-17-1999;1,6662
05-18-1999;1,6651
05-19-1999;1,6628
05-20-1999;1,6826
05-21-1999;1,6955
05-24-1999;1,6977
05-25-1999;1,7472
05-26-1999;1,7178
05-27-1999;1,7129
05-28-1999;1,7303
05-31-1999;1,7232
06-01-1999;1,7328
06-02-1999;1,7534
06-04-1999;1,7357
06-07-1999;1,7404
06-08-1999;1,7471
06-09-1999;1,7483
06-10-1999;1,7589
06-11-1999;1,7722
06-14-1999;1,7775
06-15-1999;1,7884
06-16-1999;1,7667
06-17-1999;1,7597
06-18-1999;1,7477
06-21-1999;1,7628
06-22-1999;1,768
06-23-1999;1,784
06-24-1999;1,7995
06-25-1999;1,7896
06-28-1999;1,7892
06-29-1999;1,7664
06-30-1999;1,7687
07-01-1999;1,7567
07-02-1999;1,7698
07-05-1999;1,7655
07-06-1999;1,7746
07-07-1999;1,7807
07-08-1999;1,7903
07-09-1999;1,8036
07-12-1999;1,8182
07-13-1999;1,8384
07-14-1999;1,8101
07-15-1999;1,8273
07-16-1999;1,8099
07-19-1999;1,7921
07-20-1999;1,7974
07-21-1999;1,8163
07-22-1999;1,8163
07-23-1999;1,8139
07-26-1999;1,8195
07-27-1999;1,8165
07-28-1999;1,7907
07-29-1999;1,7931
07-30-1999;1,7884
08-02-1999;1,8107
08-03-1999;1,827
08-04-1999;1,8209
08-05-1999;1,8468
08-06-1999;1,8485
08-09-1999;1,8446
08-10-1999;1,8721
08-11-1999;1,8622
08-12-1999;1,8503
08-13-1999;1,8703
08-16-1999;1,876
08-17-1999;1,8812
08-18-1999;1,8919
08-19-1999;1,9163
08-20-1999;1,9489
08-23-1999;1,8698
08-24-1999;1,9018
08-25-1999;1,9303
08-26-1999;1,9079
08-27-1999;1,9235
08-30-1999;1,9428
08-31-1999;1,9151
09-01-1999;1,9209
09-02-1999;1,9236
09-03-1999;1,9032
09-06-1999;1,9051
09-08-1999;1,8975
09-09-1999;1,8727
09-10-1999;1,8613
09-13-1999;1,8814
09-14-1999;1,8915
09-15-1999;1,8771
09-16-1999;1,8786
09-17-1999;1,8853
09-20-1999;1,8737
09-21-1999;1,8783
09-22-1999;1,8898
09-23-1999;1,8906
09-24-1999;1,9136
09-27-1999;1,9166
09-28-1999;1,9385
09-29-1999;1,9216
09-30-1999;1,9215
10-01-1999;1,9557
10-04-1999;1,938
10-05-1999;1,9517
10-06-1999;1,9592
10-07-1999;1,9331
10-08-1999;1,9422
10-11-1999;1,9542
10-13-1999;1,9579
10-14-1999;1,964
10-15-1999;1,9786
10-18-1999;1,9821
10-19-1999;1,9925
10-20-1999;2,0017
10-21-1999;1,9928
10-22-1999;1,9826
10-25-1999;1,9769
10-26-1999;1,9861
10-27-1999;1,9946
10-28-1999;1,9781
10-29-1999;1,9522
11-01-1999;1,9423
11-03-1999;1,9406
11-04-1999;1,9287
11-05-1999;1,9147
11-08-1999;1,9258
11-09-1999;1,9233
11-10-1999;1,934
11-11-1999;1,928
11-12-1999;1,9323
11-16-1999;1,9323
11-17-1999;1,9319
11-18-1999;1,9282
11-19-1999;1,9305
11-22-1999;1,9314
11-23-1999;1,932
11-24-1999;1,9287
11-25-1999;1,9292
11-26-1999;1,9255
11-29-1999;1,9205
11-30-1999;1,9219
12-01-1999;1,9213
12-02-1999;1,8942
12-03-1999;1,8766
12-06-1999;1,8661
12-07-1999;1,8586
12-08-1999;1,8619
12-09-1999;1,866
12-10-1999;1,8659
12-13-1999;1,8556
12-14-1999;1,8455
12-15-1999;1,8493
12-16-1999;1,8399
12-17-1999;1,817
12-20-1999;1,804
12-21-1999;1,8226
12-22-1999;1,8196
12-23-1999;1,8278
12-24-1999;1,8282
12-27-1999;1,8259
12-28-1999;1,8281
12-29-1999;1,8162
12-30-1999;1,7882
