"Month","furnas"
"1931-01",1470
"1931-02",3080
"1931-03",2160
"1931-04",1580
"1931-05",1020
"1931-06",806
"1931-07",629
"1931-08",493
"1931-09",563
"1931-10",654
"1931-11",690
"1931-12",1140
"1932-01",1930
"1932-02",1920
"1932-03",1530
"1932-04",884
"1932-05",696
"1932-06",655
"1932-07",497
"1932-08",399
"1932-09",414
"1932-10",546
"1932-11",597
"1932-12",1490
"1933-01",1350
"1933-02",747
"1933-03",717
"1933-04",632
"1933-05",467
"1933-06",384
"1933-07",359
"1933-08",356
"1933-09",326
"1933-10",437
"1933-11",324
"1933-12",713
"1934-01",1220
"1934-02",720
"1934-03",773
"1934-04",505
"1934-05",363
"1934-06",310
"1934-07",275
"1934-08",242
"1934-09",277
"1934-10",305
"1934-11",331
"1934-12",1300
"1935-01",1850
"1935-02",2690
"1935-03",1570
"1935-04",1360
"1935-05",930
"1935-06",698
"1935-07",576
"1935-08",493
"1935-09",462
"1935-10",628
"1935-11",550
"1935-12",680
"1936-01",614
"1936-02",602
"1936-03",1850
"1936-04",959
"1936-05",648
"1936-06",461
"1936-07",392
"1936-08",380
"1936-09",469
"1936-10",376
"1936-11",625
"1936-12",1340
"1937-01",2630
"1937-02",1610
"1937-03",1130
"1937-04",851
"1937-05",853
"1937-06",645
"1937-07",480
"1937-08",392
"1937-09",339
"1937-10",842
"1937-11",1020
"1937-12",2370
"1938-01",1950
"1938-02",1650
"1938-03",1470
"1938-04",955
"1938-05",869
"1938-06",661
"1938-07",531
"1938-08",505
"1938-09",507
"1938-10",812
"1938-11",944
"1938-12",1690
"1939-01",2160
"1939-02",2040
"1939-03",1080
"1939-04",973
"1939-05",752
"1939-06",581
"1939-07",507
"1939-08",424
"1939-09",378
"1939-10",426
"1939-11",638
"1939-12",1400
"1940-01",2070
"1940-02",2550
"1940-03",2150
"1940-04",1160
"1940-05",843
"1940-06",661
"1940-07",536
"1940-08",434
"1940-09",409
"1940-10",488
"1940-11",1050
"1940-12",1610
"1941-01",1730
"1941-02",1000
"1941-03",972
"1941-04",794
"1941-05",514
"1941-06",465
"1941-07",464
"1941-08",342
