ts|media|abertura|max|min|fechamento|volume
2016-09-01 09:01:00|3248.69649446494|3248.5|3249.5|3248.5|3249.5|542
2016-09-01 09:02:00|3251.90615835777|3249.5|3253.5|3249.5|3250.5|1705
2016-09-01 09:03:00|3249.77245762712|3250.5|3252.5|3247|3249.5|1180
2016-09-01 09:04:00|3248.62201257862|3249|3250|3247.5|3250|795
2016-09-01 09:05:00|3251.07408390866|3250|3254|3248.5|3252.5|1883
2016-09-01 09:06:00|3252.62460732984|3252.5|3254|3251|3252|955
2016-09-01 09:07:00|3253.16100667071|3251.5|3255|3251|3252.5|1649
2016-09-01 09:08:00|3252.08483290488|3252|3253|3251|3252.5|778
2016-09-01 09:09:00|3253.18029029794|3252.5|3254.5|3251.5|3254.5|1309
2016-09-01 09:10:00|3255.18697883258|3254.5|3257|3253.5|3256|1559
2016-09-01 09:11:00|3258.7170509536|3256|3261.5|3256|3260|3513
2016-09-01 09:12:00|3260.31723891273|3259.5|3261.5|3259.5|3259.5|1398
2016-09-01 09:13:00|3259.96171875|3259.5|3260.5|3259.5|3259.5|640
2016-09-01 09:14:00|3261.58881789137|3260|3263|3259.5|3261.5|1565
2016-09-01 09:15:00|3260.62564632885|3261.5|3262|3260|3260.5|967
2016-09-01 09:16:00|3262.59770642202|3260.5|3263.5|3260|3262.5|1090
2016-09-01 09:17:00|3261.87549407115|3263|3263|3261|3262.5|759
2016-09-01 09:18:00|3262.17211201867|3262|3263.5|3261|3262|857
2016-09-01 09:19:00|3260.6142384106|3262|3262.5|3260|3260.5|906
2016-09-01 09:20:00|3263.33530229326|3260.5|3264.5|3260.5|3263|1439
2016-09-01 09:21:00|3265.24343083788|3263|3266.5|3263|3266.5|2017
2016-09-01 09:22:00|3265.57924961715|3266.5|3267|3264.5|3265|1306
2016-09-01 09:23:00|3264.48778833107|3264.5|3265.5|3263.5|3263.5|737
2016-09-01 09:24:00|3264.543758967|3263.5|3266|3263.5|3265.5|697
2016-09-01 09:25:00|3264.4191011236|3265.5|3265.5|3263.5|3264|445
2016-09-01 09:26:00|3262.46813441483|3264|3264.5|3261.5|3262.5|1726
2016-09-01 09:27:00|3260.33164300203|3262.5|3262.5|3259|3260.5|1479
2016-09-01 09:28:00|3260.24051490515|3260.5|3261.5|3259|3260|738
2016-09-01 09:29:00|3258.70967741935|3260|3260|3258|3259.5|1209
2016-09-01 09:30:00|3259.16533864542|3259|3259.5|3258.5|3259|251
2016-09-01 09:31:00|3259.17496665185|3259|3262|3256.5|3261|2249
2016-09-01 09:32:00|3261.1149825784|3261.5|3261.5|3260.5|3261.5|287
2016-09-01 09:33:00|3261.98429951691|3261.5|3263|3260.5|3263|1242
2016-09-01 09:34:00|3262.75059665871|3262.5|3263|3262|3262.5|419
2016-09-01 09:35:00|3261.33255503669|3262.5|3263|3259.5|3263|1499
2016-09-01 09:36:00|3263.56970207982|3262.5|3265|3261.5|3262|1779
2016-09-01 09:37:00|3261.90301204819|3262|3263.5|3260.5|3263|830
2016-09-01 09:38:00|3262.4502617801|3262.5|3263.5|3261|3262|573
2016-09-01 09:39:00|3260.7706043956|3262.5|3262.5|3259.5|3261|1092
2016-09-01 09:40:00|3260.23342939481|3260.5|3261|3259.5|3259.5|347
2016-09-01 09:41:00|3259.72239550842|3260|3261.5|3258|3259|1603
2016-09-01 09:42:00|3261.75233022636|3259|3263.5|3259|3263|1502
2016-09-01 09:43:00|3264.32375117813|3263|3265.5|3262|3265|2122
2016-09-01 09:44:00|3265.51489505755|3265|3266.5|3264.5|3266|1477
2016-09-01 09:45:00|3267.09592061742|3266.5|3268|3266|3266.5|1814
2016-09-01 09:46:00|3265.50873965041|3266.5|3267|3264.5|3265.5|1087
2016-09-01 09:47:00|3265.70761904762|3265.5|3266|3265|3265.5|525
2016-09-01 09:48:00|3267.68285528031|3266|3269|3266|3268|1534
2016-09-01 09:49:00|3269.25202731541|3267.5|3270.5|3267|3270|2343
2016-09-01 09:50:00|3268.76765188834|3269.5|3270|3267.5|3268|1827
2016-09-01 09:51:00|3269.25239338555|3268.5|3270|3268|3269|1149
2016-09-01 09:52:00|3268.93560606061|3269|3269.5|3268|3268|396
2016-09-01 09:53:00|3268.23737373737|3268.5|3269|3267.5|3267.5|594
2016-09-01 09:54:00|3268.24380165289|3267.5|3268.5|3267.5|3268|242
2016-09-01 09:55:00|3269.14454976303|3268.5|3270|3268.5|3268.5|422
2016-09-01 09:56:00|3270.08231992516|3269|3271|3268.5|3268.5|1069
2016-09-01 09:57:00|3268.04145408163|3268.5|3269|3267.5|3267.5|784
2016-09-01 09:58:00|3268.24079754601|3268|3269|3267.5|3268.5|326
2016-09-01 09:59:00|3269.80401034929|3268.5|3270.5|3268.5|3269.5|773
2016-09-01 10:00:00|3268.37799043062|3269.5|3270|3267.5|3268.5|418
2016-09-01 10:01:00|3269.34512195122|3269|3270|3268.5|3270|410
2016-09-01 10:02:00|3269.56906077348|3269.5|3270.5|3268.5|3269.5|905
2016-09-01 10:03:00|3268.82600732601|3269.5|3269.5|3268|3268.5|273
2016-09-01 10:04:00|3268.5938697318|3269|3269.5|3268|3269.5|261
2016-09-01 10:05:00|3270.4989010989|3269.5|3272|3269|3269.5|1820
2016-09-01 10:06:00|3270.5579029734|3270|3271.5|3269.5|3270|639
2016-09-01 10:07:00|3270.85602094241|3270.5|3271.5|3270|3270.5|191
2016-09-01 10:08:00|3270.702268431|3271|3271.5|3270|3270.5|529
2016-09-01 10:09:00|3270.09420289855|3270.5|3270.5|3269.5|3270.5|207
2016-09-01 10:10:00|3270.58823529412|3270.5|3271|3270|3270.5|68
2016-09-01 10:11:00|3270.06106870229|3270.5|3271|3269.5|3269.5|262
2016-09-01 10:12:00|3269.42228739003|3270|3270|3269|3269|341
2016-09-01 10:13:00|3268.82949308756|3269|3270|3268|3269|434
2016-09-01 10:14:00|3270.1222826087|3269|3271|3269|3270|368
2016-09-01 10:15:00|3271.06588669951|3269.5|3272|3269.5|3271|812
2016-09-01 10:16:00|3271.22761904762|3271.5|3272|3270.5|3272|525
2016-09-01 10:17:00|3273.37704174229|3272|3274.5|3272|3274|2204
2016-09-01 10:18:00|3274.17400275103|3274|3275|3273.5|3273.5|727
2016-09-01 10:19:00|3273.73028391167|3274|3274|3273|3273.5|317
2016-09-01 10:20:00|3273.82103321033|3274|3274.5|3273.5|3274.5|271
2016-09-01 10:21:00|3275.29566210046|3274|3276|3274|3275|876
2016-09-01 10:22:00|3274.71888412017|3275|3275.5|3274|3274.5|466
2016-09-01 10:23:00|3274.93465045593|3275|3276|3274|3275|329
2016-09-01 10:24:00|3276.12792714657|3275|3277|3274.5|3275.5|1153
2016-09-01 10:25:00|3276.00881612091|3276|3276.5|3275.5|3276|397
2016-09-01 10:26:00|3275.58998732573|3276|3276.5|3275|3275|789
2016-09-01 10:27:00|3274.84129213483|3275|3275.5|3274.5|3275|356
2016-09-01 10:28:00|3274.58877284595|3274.5|3275|3274|3274.5|383
2016-09-01 10:29:00|3275.21984435798|3274.5|3275.5|3274.5|3275.5|257
2016-09-01 10:30:00|3275.12215909091|3275.5|3275.5|3274.5|3274.5|176
2016-09-01 10:31:00|3274.83075734158|3275|3275.5|3274|3274|647
2016-09-01 10:32:00|3273.99456521739|3274|3274.5|3273.5|3274|552
